method,regime,k,k_actual,seed,wall_time_s,nystrom_error,kpca_distortion,krr_rmse_target_0,krr_lambda_target_0,krr_rmse_target_1,krr_lambda_target_1,krr_rmse_target_2,krr_lambda_target_2,krr_rmse_target_3,krr_lambda_target_3,krr_rmse_mean,sigma_sq_raw,p90_ae_target_0,p95_ae_target_0,p99_ae_target_0,mae_target_0,worst_group_rmse_target_0,best_group_rmse_target_0,macro_rmse_target_0,std_group_rmse_target_0,n_groups_evaluated_target_0,rmse_dispersion_target_0,worst_group_p95_ae_target_0,macro_p95_ae_target_0,p90_ae_target_1,p95_ae_target_1,p99_ae_target_1,mae_target_1,worst_group_rmse_target_1,best_group_rmse_target_1,macro_rmse_target_1,std_group_rmse_target_1,n_groups_evaluated_target_1,rmse_dispersion_target_1,worst_group_p95_ae_target_1,macro_p95_ae_target_1,p90_ae_target_2,p95_ae_target_2,p99_ae_target_2,mae_target_2,worst_group_rmse_target_2,best_group_rmse_target_2,macro_rmse_target_2,std_group_rmse_target_2,n_groups_evaluated_target_2,rmse_dispersion_target_2,worst_group_p95_ae_target_2,macro_p95_ae_target_2,p90_ae_target_3,p95_ae_target_3,p99_ae_target_3,mae_target_3,worst_group_rmse_target_3,best_group_rmse_target_3,macro_rmse_target_3,std_group_rmse_target_3,n_groups_evaluated_target_3,rmse_dispersion_target_3,worst_group_p95_ae_target_3,macro_p95_ae_target_3,nystrom_coverage_mean,nystrom_coverage_max,nystrom_coverage_p95
Uniform,unconstrained,80,80,1042,0.2062,0.0709564859315198,0.219494917681,0.8830732912919363,0.1,0.8870172664481865,0.1,0.8274220851485299,0.1,0.6503864646984866,0.1,0.8119747768967848,39.73933798225498,1.4186371839798249,1.9108206848059448,2.3199989754917203,0.6935695240441249,1.882066586112555,0.6083241105366717,1.0332230481309188,0.413161984192255,8,3.0938549919584326,2.482032253756778,1.6576548668419018,1.429382820305586,1.5688230326672528,2.3996635911694963,0.6934073673223786,1.1090649850734986,0.6177584943427973,0.8797054691184567,0.1753440305054913,8,1.7953051155587556,1.8690998750576449,1.409516408925083,1.4004884236232462,1.6117145786759906,1.8537396745329744,0.656580484221368,1.0704361279120895,0.6489813417388749,0.8670494131643856,0.1459761198742237,8,1.6494097119093938,1.8748754325402537,1.457002178287515,0.9720013733163236,1.1809456893417918,1.9459945595035093,0.5028271172330877,1.0824730662087376,0.4025400752801344,0.7329140827678848,0.2273689122470947,8,2.689106334208901,1.7131960463566005,1.1614093556900946,0.6530574103988547,0.7761876438506744,0.7595050322725856
K-means,unconstrained,80,80,1042,0.2206,0.0606843626588121,0.1741001487877339,0.7301300895443416,0.1,0.7611216302135616,0.1,0.7081373595657762,0.1,0.6390793972089918,0.1,0.7096171191331677,39.73933798225498,1.1781141288630883,1.3001151458482485,2.1250183028736847,0.579001669275683,1.5556756072223077,0.5032481960679942,0.8139492482960229,0.3232984979712862,8,3.091269118055853,2.045273625778202,1.2982144145202232,1.2273441314906663,1.6938160105713684,1.845685029547928,0.6121022633895825,1.3257467528480602,0.4801491981515988,0.8366407246323377,0.2423384160994602,8,2.761114166079433,1.7248557821472188,1.3975920197579257,1.17145850519663,1.3843745280306154,1.6218087997987798,0.5596086623974513,1.161204509757247,0.5074976940882716,0.7498030383535983,0.1930466729664325,8,2.2880981003142704,1.5589947280869163,1.2425768955682377,1.1445912991108182,1.3060101530613153,1.5149261277795845,0.5097099832362906,1.1279414977389148,0.4736794488497208,0.73169722981101,0.2422585901285824,8,2.381233765741787,1.492877876648988,1.114689394125746,0.6269174873071165,0.7602460285593067,0.7283149191811085
Farthest-first,unconstrained,80,80,1042,0.1994,0.0799664138046881,0.2606702835903198,0.7791461272163842,0.1,0.8934276431749684,0.1,0.7355936678741967,0.1,0.6844187370165798,0.1,0.7731465438205323,39.73933798225498,1.3193982142255565,1.6840172014495085,1.8361696650140409,0.6163892061463554,1.507576655897623,0.555440603731339,0.8835964706490016,0.2887513007664848,8,2.7141995845640814,2.0293840676850907,1.458718201209099,1.2817317208322012,1.5002074908025989,2.811398178640085,0.7179403870830366,1.3562692999125328,0.6712651181334048,0.9536065054366524,0.2091669027528684,8,2.0204674178272923,2.825153355168904,1.5228391003233988,1.1393181152701,1.3702134792221985,2.008393965497255,0.5842057128771581,1.618609289546897,0.5286184653297126,0.8290725600092431,0.3388259124190217,8,3.061961311807998,2.1775558173183094,1.3185847921902265,1.0698757903298624,1.4718591572816682,1.763970340985093,0.528074866451325,1.5499951520398785,0.5310203388659996,0.7475596706873073,0.3130348594344976,8,2.918899783292504,1.9790534792944496,1.162410212985256,0.7226923728683325,0.8623307893607868,0.8287111972153521
KKM-Nystrom,unconstrained,80,80,1042,0.1988,0.0645241351058093,0.1884211050878792,0.7220438751413796,0.1,0.7046826882596031,0.1,0.7225607722011059,0.1,0.5821632964945647,0.1,0.6828626580241632,39.73933798225498,1.1447856816498367,1.3924230539703517,1.9121945412884096,0.5687394067488942,1.8163746650701893,0.519804592187203,0.8615389209368653,0.3811743235739235,8,3.4943413205092235,2.088753594299052,1.3357167983530172,1.1651333214752526,1.283834495711164,1.8941341648666816,0.5453717876575609,0.9664054359014864,0.513273549654652,0.7504719552184768,0.1446635659500666,8,1.8828272693025327,1.906185069755293,1.2275354770409523,1.202922279620766,1.3589030507123083,1.701460529144842,0.565746858044879,1.0627814729310694,0.5486409342118778,0.7960804695794528,0.1457392328175197,8,1.9371166215618856,1.752641582911313,1.3308411804386298,0.9004930718479898,1.1609127975021072,1.57812597106399,0.4515079848376468,1.4301955373472155,0.383563163298833,0.6897621662091887,0.3285385463073709,8,3.728709308388289,2.084313683737716,1.0485055690518488,0.6436606201562414,0.7728404833223118,0.7468588480557671
KKM-Nystrom (quota),quota,80,80,1042,0.2258,0.0626939526409355,0.1883941716142634,0.7082812779266984,0.1,0.7643156287772775,0.1,0.6726984920895529,0.1,0.578542986484287,0.1,0.6809595963194539,39.73933798225498,1.0095802422287972,1.4626454183057789,1.8916243299493,0.5701970970516916,1.84948385374132,0.5265730178829057,0.8357635227754286,0.4011150114915026,8,3.5123027404199254,2.135526748805569,1.269545577251613,1.1012751278485546,1.4347782642959204,2.3974062492699657,0.5930095411366682,1.0483845739407291,0.5267189726285453,0.7621602560228136,0.1896700368096623,8,1.990405944006264,2.195601373597843,1.288085907201848,1.1020331124054312,1.2420074845223597,1.667443308444324,0.5215977587198422,0.8348847917950621,0.4907100251784234,0.6936661154270739,0.1235631968157477,8,1.701381159864211,1.481212241177265,1.1663287840121015,0.9339934114789002,1.2424754177047832,1.399422469987248,0.4628200279716555,1.0563337204118384,0.3884740751535029,0.6373476708831801,0.2243339783978682,8,2.71918716839582,1.446749969507721,1.0151617000122095,0.6405426962478102,0.7762226567672703,0.7362257813714146
Ridge-leverage,unconstrained,80,80,1042,0.2069,0.0758322201831508,0.245511966294077,0.8357102740735162,0.1,0.741677484736087,0.1,0.7408924486548858,0.1,0.5912448848517393,0.1,0.727381273079057,39.73933798225498,1.25872153962033,1.575178088819561,2.0387621084812566,0.6731587619025341,2.0993756769333274,0.498789544053705,0.9524276631148983,0.4712777797317542,8,4.208940828774241,2.738662508259519,1.4821376603513137,1.1946225630231957,1.5778383703207104,1.992378836438832,0.5880932923415739,1.23709776687834,0.495298959321248,0.8034835283238673,0.2362525370479849,8,2.497678914112084,1.902132489856018,1.3209676101234311,1.215874931771214,1.456272482887364,2.0679143054885305,0.5825318099297275,1.5126188803755491,0.3468300259761902,0.7795652829022567,0.3223402588119161,8,4.361268538149549,2.026594552354016,1.310159503640722,0.9897460761494028,1.1375776028171518,1.4153919019779757,0.4680674545050969,1.0965825845166737,0.3135006486902807,0.6674451992826596,0.2429749570859283,8,3.4978638452516546,1.4699756495679996,1.008003576300596,0.6700442065828794,0.7991053772294742,0.7687861875264408
Uniform (quota),quota,80,80,1042,0.1963,0.0714219633387955,0.2229999033076773,0.6740125164808375,0.1,0.8131826397080155,0.1,0.8662383119998011,0.1,0.6063377524551029,0.1,0.7399428051609392,39.73933798225498,1.0742888015966543,1.309962691654045,1.8388385652780548,0.5279996891042201,1.6291465881994809,0.4465564210688197,0.778601148358969,0.3479113691603445,8,3.6482435619225138,1.968383527212388,1.2587500947114434,1.287533490520749,1.5912459267123595,2.236342169759216,0.6547143790959441,1.0772907627206647,0.5333323269361566,0.8041279222382536,0.1740044044482608,8,2.0199239916871257,2.0746701878365226,1.368682311620253,1.3081655715066274,1.5250916162040782,2.26846683122682,0.691042345561844,1.0785307681184837,0.7655274895852942,0.8970125151754218,0.1106257758489376,8,1.4088726829427791,1.716781272725191,1.4021772505322754,0.9823508397047882,1.3335568880388131,1.7249412495828889,0.4570512799201459,1.405546952519484,0.3526236895532981,0.7253952037795364,0.3468649558215389,8,3.985968595303463,1.8321896512163076,1.1082377147888725,0.6631877205887405,0.7914924892101665,0.7576662275959435
NSGA-II (Pareto-validated),pareto_validated,80,80,1042,0.2287,0.0630909900733214,0.1867246901070073,0.7440469036527825,0.1,0.7232604071989464,0.1,0.7265087020109966,0.1,0.6204720066963552,0.1,0.70357200488977,39.73933798225498,1.3002912438341376,1.616583844225406,2.148524243458902,0.5494644478968685,1.4528361049896723,0.3710078077167644,0.8696399830469927,0.3075511049444497,8,3.915917872269685,2.0534714507426868,1.4820594369554838,1.1211638151987566,1.3909723654079844,2.2802975262471485,0.5586496656319837,1.0199499054508927,0.474995230360446,0.7195130117942194,0.1811942808789561,8,2.147284520471737,2.136096521410898,1.1957453124606658,1.1352690012998512,1.3620424303699254,1.8425305242026992,0.5943347516822727,1.002395336677088,0.5748240917787347,0.7698742600534954,0.1546917519101356,8,1.743829722890141,1.6197452768552958,1.2377610507139885,1.0806378531457277,1.1560915490965906,1.5466814643185622,0.4913330910648891,1.123401007591511,0.465029463852433,0.70489014095681,0.2284630625673238,8,2.415763075063988,1.542546487090402,1.1027721537413695,0.6369266262714997,0.7725533657658381,0.7305368077214781
Uniform,unconstrained,80,80,2042,0.2136,0.0682112435326385,0.2122468585913818,0.6531262206205994,0.1,0.7813181626503727,0.1,0.8738766370225518,0.1,0.8248893791802044,0.1,0.7833025998684321,39.303781407212696,1.0571279413725798,1.2332272139517868,1.5218647641168166,0.5309440096874892,0.9392108656541308,0.3228333976569228,0.6348635532180962,0.1646209143859532,8,2.9092741719747237,1.367552348282291,1.1578487956507864,1.2770803323241395,1.6279860558280157,2.02069699131551,0.6116202308799609,1.0470719926450314,0.5562728568689329,0.766941655058135,0.1532563734360594,8,1.8822992704311277,2.035367779217631,1.4361922170826549,1.280920014108329,1.966757520566464,2.388464277347632,0.6688505734003427,1.1852496140056274,0.1318679949423171,0.7731565965295886,0.3071749191706759,8,8.988152239094024,2.355004835827005,1.553660117346651,1.2627261900890792,1.4783295171619903,2.3400850343692583,0.6552204159401387,1.0791222468149937,0.4628510166382777,0.811198869954247,0.1969616634118021,8,2.331467811506045,1.9701989930976955,1.3955320093532506,0.6550855766858458,0.7858217199898605,0.7552714661466485
K-means,unconstrained,80,80,2042,0.2031,0.0633267281163884,0.1888680955961165,0.7637729809046153,0.1,0.7694636032029922,0.1,0.7767344173757706,0.01,0.7998472264434303,0.1,0.7774545569817022,39.303781407212696,1.2683973167023472,1.502569522024264,1.8858991326363177,0.6085566061724367,0.9896366785441608,0.1039805407458925,0.7059501522742697,0.2564217964636186,8,9.51751809949357,1.7824593186414317,1.3903020929496124,1.1991234833789373,1.5453698068389876,1.895904963361352,0.5931994515324986,0.9494403354917508,0.2640343008016181,0.679020893231904,0.2001161190676486,8,3.595897701962261,2.0293685919463806,1.3991350004348135,1.2789809207293843,1.5171290038196463,2.160113149510528,0.6042092162411091,1.4984693802117022,0.609284944527927,0.8735996142170075,0.2584404982413294,8,2.4593901321043043,1.8729330342282644,1.4358476657188828,1.2277656187626609,1.659630868438084,2.222377118411663,0.6117124650885973,1.01055968833912,0.29930038034648,0.7257934395360357,0.2212807462034676,8,3.3764062951382243,2.2027510762003675,1.3962600344749645,0.6359949033776949,0.776116098790491,0.7317415090600727
