state,method,rep_id,target,rmse,mae,r2,n
0,Pareto,1,4G,2.959499881604874,2.4091159180218753,-1.6814674897508417,17
1,Pareto,1,4G,2.6083164590664696,2.1259479740288274,-0.6676786974828282,21
10,Pareto,1,4G,3.5286995683456004,3.195046309218456,-0.04321888106863114,5
11,Pareto,1,4G,4.404459184842356,3.7798556087608333,-1.3824208399354747,10
12,Pareto,1,4G,2.792547052844256,2.383355505138403,-0.39613038086775854,13
13,Pareto,1,4G,3.460319979662237,3.3078691703971996,-0.15928648559688763,5
14,Pareto,1,4G,2.2607453545634892,1.898901521346262,-0.40246698060285535,38
15,Pareto,1,4G,1.7561184285840996,1.3781555936731005,-0.14726991423928149,27
16,Pareto,1,4G,2.8415862059869474,2.0843733638765505,-1.8386172392002922,2
17,Pareto,1,4G,1.719440490360881,1.4594162904353718,-0.08459818998635371,17
18,Pareto,1,4G,2.690916032408361,2.4690885266351703,-3.7033917706330257,6
19,Pareto,1,4G,1.6736122131385711,1.6293011161921103,0.026682037624117916,7
2,Pareto,1,4G,3.0436447320874147,2.312875891543368,-0.02031562826275546,10
20,Pareto,1,4G,2.09775006351373,2.0026168905976656,0.11208963334366195,2
21,Pareto,1,4G,6.376980213910306,6.364896806659466,-178.5593639345787,3
22,Pareto,1,4G,2.2565708193114986,1.7738082611734272,-0.19461161939608895,17
23,Pareto,1,4G,2.5575911351336393,2.15065717257392,0.09779591827299927,8
24,Pareto,1,4G,3.048566151823151,2.5323892793298652,-0.8230863809999795,20
25,Pareto,1,4G,2.6258818882984754,2.060809555143315,-0.38867123360047096,21
26,Pareto,1,4G,2.4494794945687612,1.8522826321443204,-0.4338250028007953,8
3,Pareto,1,4G,1.8173718790548556,1.5802251373111127,-0.1318835191098091,31
4,Pareto,1,4G,4.192866416940561,3.8374021728719447,-1.3188918035543402,5
5,Pareto,1,4G,3.359788903629644,2.8095197907494622,-0.8238636809300766,15
6,Pareto,1,4G,2.413210129896813,1.9646633625051846,0.0355586700755911,44
7,Pareto,1,4G,2.0087024681415904,1.6922250729636157,0.0507748452630975,27
9,Pareto,1,4G,2.6496977541380216,2.212372936931689,-0.7583710537580279,20
