state,method,rep_id,target,rmse,mae,r2,n
0,SKKN,0,4G,4.646942288882492,4.131960188741219,-3.398121044676203,17
10,SKKN,0,4G,6.16920529580838,5.968640484863444,-14.30402079511977,16
11,SKKN,0,4G,1.660955109852953,1.3360010391321502,-0.0923008625161228,23
12,SKKN,0,4G,2.8911361716832538,2.4588627528257923,-1.6235603535530507,36
13,SKKN,0,4G,2.77045689515098,2.4443491465522036,-1.6491878898250873,46
14,SKKN,0,4G,3.435998257240676,3.1123968121855627,-1.0332129736740487,8
15,SKKN,0,4G,1.6319710282673017,1.4635162007886378,-0.15887567806847813,15
16,SKKN,0,4G,2.544692075797885,2.0436871727819805,-0.39468894319484393,13
17,SKKN,0,4G,2.891404917135864,2.503527840030729,-1.2984799329911199,14
18,SKKN,0,4G,2.213589604011515,1.944555672736536,-0.11653722234677133,12
19,SKKN,0,4G,2.0087202840380503,1.7696285666876208,-0.3994943741619372,21
2,SKKN,0,4G,3.5616482576367745,3.4186592927322543,-14.107722013181284,4
20,SKKN,0,4G,2.3140755829054545,1.860191882755564,-0.33472411620919273,15
21,SKKN,0,4G,1.8689092512410705,1.560813101550966,-0.09733412064559022,26
22,SKKN,0,4G,2.149861447928371,2.0159579772114085,-0.10974511343649151,6
23,SKKN,0,4G,2.579063724983269,2.2950728022741997,-0.9591147362725057,22
24,SKKN,0,4G,2.223605773836223,1.5920407918045687,-0.16718956663933837,7
25,SKKN,0,4G,1.91763187847991,1.5486681229866592,-1.831423764799005,5
26,SKKN,0,4G,3.2131528806788987,2.7095720362423577,-0.19993124190601352,11
3,SKKN,0,4G,4.261472303882322,4.002790292824195,-6.8433136241685215,4
4,SKKN,0,4G,2.4579997657123758,2.128022916650564,-1.8042739377082624,17
5,SKKN,0,4G,2.6356856513381235,1.920719683038733,-0.5303523486221928,12
6,SKKN,0,4G,2.7168890988425303,2.0603448996374576,-0.29707690999340963,13
7,SKKN,0,4G,4.174261226534624,3.567692044898045,-2.5396429478634857,4
8,SKKN,0,4G,2.907385750146243,2.3968245588011494,-0.9985143620347856,24
9,SKKN,0,4G,1.6052097839808712,1.2675809397629443,-0.265391982287579,9
