state,method,rep_id,target,rmse,mae,r2,n
0,U,1,4G,2.9653903194863656,2.4081209069033984,-1.6921522250856076,17
1,U,1,4G,2.6124017268472866,2.128807230401936,-0.6729067819669141,21
10,U,1,4G,3.5131862387937534,3.197824329106438,-0.03406637413461833,5
11,U,1,4G,4.410664494052356,3.7893588224073027,-1.389138610033176,10
12,U,1,4G,2.7850087877006793,2.3771537148828727,-0.38860306198418404,13
13,U,1,4G,3.4650022208287345,3.3148848091213674,-0.16242592435184533,5
14,U,1,4G,2.265711296658593,1.9069790208715902,-0.4086350516522974,38
15,U,1,4G,1.7490715597960373,1.3667514217470673,-0.13808096713014528,27
16,U,1,4G,2.82989266567887,2.069266140950133,-1.8153026643844439,2
17,U,1,4G,1.7100129352295992,1.4532996715488464,-0.07273726480845433,17
18,U,1,4G,2.6867901833502663,2.471868114919972,-3.688979869602874,6
19,U,1,4G,1.7053813735444385,1.6590649294737878,-0.01062048223977441,7
2,U,1,4G,3.0588364442033438,2.3275225743088592,-0.030526428803181904,10
20,U,1,4G,2.047124347097098,1.9360744766476474,0.15442898455395415,2
21,U,1,4G,6.381621242722338,6.369633343324445,-178.82081791343447,3
22,U,1,4G,2.249615539865098,1.779280556605258,-0.18725882315340803,17
23,U,1,4G,2.5564836277175362,2.16149788250483,0.09857710753938442,8
24,U,1,4G,3.0495546470863295,2.5320213880194427,-0.8242688414282506,20
25,U,1,4G,2.6287914021115695,2.073378820871364,-0.3917502727154052,21
26,U,1,4G,2.445959050292193,1.8477728596309713,-0.4297065166456737,8
3,U,1,4G,1.8253452771999419,1.592502974505578,-0.14183718435631332,31
4,U,1,4G,4.192044874470116,3.833441949683327,-1.3179831738610428,5
5,U,1,4G,3.371173953492094,2.8126099556241844,-0.8362453879510119,15
6,U,1,4G,2.4055040937364076,1.9648013719537594,0.041708282528338136,44
7,U,1,4G,2.001427490528981,1.6879004012712304,0.05763806842890362,27
9,U,1,4G,2.6600638086691117,2.2182148593538966,-0.7721560406982004,20
