state,method,rep_id,target,rmse,mae,r2,n
0,KKN,0,5G,4.94962467179969,4.405798488414991,-2.2443403916779046,17
10,KKN,0,5G,2.1968548429569714,1.9020792891774305,-0.6056301800382631,16
11,KKN,0,5G,3.0757708778447173,2.320163776535756,-1.0953738254753107,23
12,KKN,0,5G,2.6942223254752378,2.4225879921371956,-0.9245591641838014,36
13,KKN,0,5G,2.6384097544361578,2.1147594641508176,-0.10136820294985682,46
14,KKN,0,5G,2.5353991432650025,2.2265585389892957,-0.3806015700919947,8
15,KKN,0,5G,2.7961586815726913,2.234553016635149,-0.13602485014047883,15
16,KKN,0,5G,3.1952770092953044,2.874209050525381,-3.6336655077591917,13
17,KKN,0,5G,1.7422774662961547,1.3954293794728676,-0.07863353541942852,14
18,KKN,0,5G,1.6727765527809026,1.5801164240733474,-1.5657058513324618,12
19,KKN,0,5G,3.0514792500636676,2.412335567311432,-0.1565191050675636,21
2,KKN,0,5G,3.1119027421209884,2.2862830045155547,-1.660725564260801,4
20,KKN,0,5G,2.529533782101662,1.8964697752313353,0.0742079489187486,15
21,KKN,0,5G,3.0451067308513817,2.7298522636108973,-2.382719247527598,26
22,KKN,0,5G,2.029122533012504,1.8604882978220996,-0.18595085454629934,6
23,KKN,0,5G,2.456292094788189,2.0478300831318084,-0.9486828101671487,22
24,KKN,0,5G,1.5056057247747117,1.3733761504184265,0.22364919519984194,7
25,KKN,0,5G,5.345045067798563,5.2496729182096455,-26.08133079038174,5
26,KKN,0,5G,2.9304204396814764,2.5003740999838895,-1.8778510716579744,11
3,KKN,0,5G,3.876478977708268,3.24003604789754,-1.4974282231954597,4
4,KKN,0,5G,2.20395467414221,1.6702483064620122,-0.6445012759586575,17
5,KKN,0,5G,2.190958071853757,1.9345787581747835,0.1803391007459425,12
6,KKN,0,5G,3.0858895703981766,2.5630210225138077,-0.14136171197560476,13
7,KKN,0,5G,3.9578814074347313,3.3619967138161475,-1.849982039173737,4
8,KKN,0,5G,2.028124356936109,1.6405497127985338,-0.16525883412214304,24
9,KKN,0,5G,3.2600022572082796,2.540426573763592,-0.5307807799120068,9
