state,method,rep_id,target,rmse,mae,r2,n
0,KM,2,5G,2.424486488419379,2.2541355530981377,-0.6708314046088295,4
1,KM,2,5G,2.5313461845186076,2.0648891460679772,-0.27780575905435256,20
10,KM,2,5G,2.6815396967013925,2.1849852293958962,-0.37802637921495363,13
11,KM,2,5G,1.9149520900873414,1.730587376782573,-0.45169721659815454,11
12,KM,2,5G,2.803326043451332,2.081985804970741,-0.15970224456701865,8
13,KM,2,5G,2.8236417622473398,2.1497955178185233,-0.6811971949516022,10
14,KM,2,5G,2.0646657126025127,1.8095273448705833,-0.025622852118497796,25
15,KM,2,5G,3.1465919916320804,2.7100664889166595,-3.240475723840123,2
16,KM,2,5G,3.1258302490848466,2.639246166546331,-1.0310303115500936,18
17,KM,2,5G,2.0843148499042123,1.7080707425209172,0.1594452133373414,11
18,KM,2,5G,3.682823775856089,3.158813094291003,-1.4895083291933195,28
2,KM,2,5G,2.971478312871207,2.6600537908373267,-1.3402258766589745,50
21,KM,2,5G,3.246898743090562,2.662604288096125,-2.5696741456550005,8
22,KM,2,5G,2.2032941827958292,1.8952014720587396,-0.4916666394415865,20
23,KM,2,5G,3.432059996797689,2.7767560234796678,-0.7680943130566171,14
25,KM,2,5G,2.3717627472505227,2.104172871704444,-0.7197534828904595,12
26,KM,2,5G,2.2205060949704003,1.8072562490935826,-0.731796679006419,36
3,KM,2,5G,2.1692552051439424,1.8208524402869664,-0.06691518490792836,16
4,KM,2,5G,4.331360664604622,3.732715319776731,-3.145179693194976,7
5,KM,2,5G,3.639145235437482,3.169374290833334,-2.5212427742415904,21
6,KM,2,5G,1.8271745281590535,1.535472198946279,-0.257334925768437,19
7,KM,2,5G,2.5253099301106166,2.0032720686081085,-0.027844080734966248,24
8,KM,2,5G,3.724066293552074,3.3352816832294976,-4.7805822790739745,11
9,KM,2,5G,3.4143120275396845,2.685281314043256,-1.4599304600744936,10
