regime,nystrom_error,kpca_distortion,method
Population-share,0.04324290351710964,0.08681547141949701,nsga2
Population-share,0.04298363397914916,0.08828523254855365,nsga2
Population-share,0.043053027030123106,0.08746627493930627,nsga2
Population-share,0.04158287729608595,0.07982620850744453,nsga2
Population-share,0.04718931435880312,0.10009569466437071,nsga2
Population-share,0.05908366322505666,0.14730198443294087,nsga2
Population-share,0.06443050850706214,0.15346796121311673,nsga2
Population-share,0.0471365136563887,0.10089518716265232,nsga2
Population-share,0.0544871033905443,0.1324270899438811,nsga2
Population-share,0.07730644438702725,0.19746562703216577,nsga2
Population-share,0.06250731325357464,0.1510101411257405,nsga2
Population-share,0.0437407122795167,0.08930684835866824,nsga2
Population-share,0.05701913877175952,0.13909070699498843,nsga2
Population-share,0.04416459800249815,0.09042572940301437,nsga2
Population-share,0.05460489125240781,0.1317349648963743,nsga2
Population-share,0.06559512820213917,0.16718682939323876,nsga2
Population-share,0.0456789565773828,0.09539521589874361,nsga2
Population-share,0.05431580481315115,0.1275927038301305,nsga2
Population-share,0.08116606773225864,0.2155177406650539,nsga2
Population-share,0.07204294717476072,0.18061029174086587,nsga2
Population-share,0.053365465544628135,0.12040214471326793,nsga2
Population-share,0.06328448221058508,0.1604018443138394,nsga2
Population-share,0.05437252566413722,0.1269687290264487,nsga2
Population-share,0.05913208799568727,0.14596236133749238,nsga2
Population-share,0.05628483799279566,0.12732922535733746,nsga2
Population-share,0.04354170174357293,0.08623194067524233,nsga2
Population-share,0.0445110803982384,0.09352479350881403,nsga2
Population-share,0.04607101976071198,0.09843704436987162,nsga2
Population-share,0.04656686375232665,0.09975495696929795,nsga2
Population-share,0.053084533205157866,0.1263182337182115,nsga2
Population-share,0.0596829460157753,0.14151355455350237,nsga2
Population-share,0.05728710504170069,0.1436319087433651,nsga2
Population-share,0.045439039152754594,0.09557755029162933,nsga2
Population-share,0.07718342742879894,0.200447438541256,nsga2
Population-share,0.059044885423773584,0.14166226575646376,nsga2
Population-share,0.08799763550782846,0.22154031616988643,nsga2
Population-share,0.05435587680950755,0.12996720764217923,nsga2
Population-share,0.15684168355424205,0.3155634513168637,nsga2
Population-share,0.05747480559379122,0.14545971064837626,nsga2
Population-share,0.0438758791827403,0.09028361034624767,nsga2
Population-share,0.06282170579824083,0.16512991010633604,nsga2
Population-share,0.04649570024810685,0.10014567000820002,nsga2
Population-share,0.05642765462898843,0.13532674510607565,nsga2
Population-share,0.060808090367109324,0.14735338481027524,nsga2
Population-share,0.055804473887423954,0.13417186620757893,nsga2
Population-share,0.07359165624790222,0.17883636972671177,nsga2
Population-share,0.07935895028050732,0.21356801146012536,nsga2
Population-share,0.049531956923693936,0.11160240138271138,nsga2
Population-share,0.04926282233371799,0.1076564900035305,nsga2
Population-share,0.04444693118916657,0.09041926091231686,nsga2
Population-share,0.13728312037897328,0.2876372109178251,nsga2
Population-share,0.05251122506985244,0.11858153186929112,nsga2
Population-share,0.06816228472822947,0.1781049170567277,nsga2
Population-share,0.06384860888294147,0.15391739494341128,nsga2
Population-share,0.05714287269442918,0.1336944418996844,nsga2
Population-share,0.05359594161514288,0.12356163735272173,nsga2
