model,target,bal_accuracy
GBT,broadband_speed_tier,0.5051255507777247
GBT,concentrated_mobile_market,0.6626718213058419
GBT,has_5g_coverage,0.8874136366808569
GBT,high_fiber_backhaul,0.6784979423868314
GBT,high_speed_broadband,0.706045751633987
GBT,income_extremes,0.45576605125378894
GBT,income_speed_class,0.5664780763790664
GBT,income_tier,0.6971243042671613
GBT,infra_density_tier,0.5232990364165071
GBT,mobile_penetration_tier,0.619937185107636
RF,broadband_speed_tier,0.5179991506078463
RF,concentrated_mobile_market,0.6528780068728522
RF,has_5g_coverage,0.8920720217740247
RF,high_fiber_backhaul,0.696171369782481
RF,high_speed_broadband,0.6990196078431372
RF,income_extremes,0.40314136125654454
RF,income_speed_class,0.5714285714285714
RF,income_tier,0.6859925788497216
RF,infra_density_tier,0.5159937071725512
RF,mobile_penetration_tier,0.5816796440489432
KNN,broadband_speed_tier,0.5000690131124913
KNN,concentrated_mobile_market,0.667053264604811
KNN,has_5g_coverage,0.8883732291157792
KNN,high_fiber_backhaul,0.6508303938859494
KNN,high_speed_broadband,0.7102941176470587
KNN,income_extremes,0.3965968586387435
KNN,income_speed_class,0.5677157001414427
KNN,income_tier,0.6070397856112142
KNN,infra_density_tier,0.5006486590040171
KNN,mobile_penetration_tier,0.48323807498527777
LR,broadband_speed_tier,0.4869299782343261
LR,concentrated_mobile_market,0.6180841924398626
LR,has_5g_coverage,0.8318270639960919
LR,high_fiber_backhaul,0.6773589065255732
LR,high_speed_broadband,0.5952614379084967
LR,income_extremes,0.4214659685863874
LR,income_speed_class,0.5
LR,income_tier,0.691816120387549
LR,infra_density_tier,0.5478952447703674
LR,mobile_penetration_tier,0.5741959475670134
